"job_title_short","job_title","name","job_country","salary_year_avg","skills"
"Data Analyst","Data Analyst","Predictive Data Lab","United States","87500.0","sql"
"Data Analyst","Data Analyst","Predictive Data Lab","United States","87500.0","azure"
"Data Analyst","Informatics Data Analyst II","IDR, Inc.","United States","95000.0","sql"
"Data Analyst","Informatics Data Analyst II","IDR, Inc.","United States","95000.0","python"
"Data Analyst","Informatics Data Analyst II","IDR, Inc.","United States","95000.0","r"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","sql"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","python"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","snowflake"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","excel"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","tableau"
"Data Analyst","Data Analyst","In Technology Group Inc (US)","United States","75000.0","power bi"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","sql"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","python"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","aws"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","pandas"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","numpy"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","plotly"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","seaborn"
"Data Analyst","100% REMOTE Data Analyst","CyberCoders","United States","90000.0","word"
"Data Analyst","Mobile Data Analyst","Verizon","United States","89500.0","power bi"
"Data Analyst","Data Analyst","Insight Global","United States","83500.0","sql"
"Data Analyst","Data Analyst","Insight Global","United States","83500.0","excel"
"Data Analyst","Data Analyst","Every Body Texas","United States","72500.0","sql"
"Data Analyst","Data Analyst","Every Body Texas","United States","72500.0","r"
"Data Analyst","Data Analyst","Every Body Texas","United States","72500.0","azure"
"Data Analyst","Data Analyst","Every Body Texas","United States","72500.0","power bi"
"Data Analyst","Data Analyst","Every Body Texas","United States","72500.0","spss"
"Data Analyst","Data Analyst","Get It Recruit - Real Estate","United States","110000.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Real Estate","United States","110000.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Real Estate","United States","110000.0","r"
"Data Analyst","Data Analyst","Get It Recruit - Real Estate","United States","110000.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Real Estate","United States","110000.0","power bi"
"Data Analyst","Data Analyst - Empowering Insights for a Healthier Future","Get It Recruit - Information Technology","United States","101500.0","sql"
"Data Analyst","Data Analyst - Empowering Insights for a Healthier Future","Get It Recruit - Information Technology","United States","101500.0","excel"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","sql"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","python"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","aws"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","redshift"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","oracle"
"Data Analyst","Senior System/Data Analyst","Get It Recruit - Information Technology","United States","102000.0","tableau"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","sql"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","python"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","r"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","go"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","redshift"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","snowflake"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","tableau"
"Data Analyst","Data Analyst - Ad Tech and Google Ad Manager Experience (Remote)","Get It Recruit - Information Technology","United States","82000.0","looker"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","84000.0","azure"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","84000.0","power bi"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","84000.0","dax"
"Data Analyst","Data Analyst & Dashboard Developer","Impact Genome","United States","85000.0","tableau"
"Data Analyst","Data Analyst & Dashboard Developer","Impact Genome","United States","85000.0","terminal"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","82500.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","82500.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","82500.0","power bi"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","82500.0","looker"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sql"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","python"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","r"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sql server"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","bigquery"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","excel"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","tableau"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","power bi"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","looker"
"Data Analyst","Marketing Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sheets"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","117000.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","117000.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","117000.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","117000.0","looker"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","sql"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","python"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","r"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","sas"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","sql server"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","azure"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","power bi"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","sas"
"Data Analyst","Principal Data Analyst","Get It Recruit - Information Technology","United States","160000.0","ssrs"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","112500.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","112500.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","112500.0","r"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","112500.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","112500.0","looker"
"Data Analyst","Data Analyst, Category Management & Demand Planning","MaryRuth's","United States","75000.0","excel"
"Data Analyst","Data Analyst, Category Management & Demand Planning","MaryRuth's","United States","75000.0","sap"
"Data Analyst","Data Analyst, Category Management & Demand Planning","MaryRuth's","United States","75000.0","flow"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","sql"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","sql server"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","arch"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","excel"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","tableau"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","power bi"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","word"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","ssrs"
"Data Analyst","Pharmacy Data Analyst","Get It Recruit - Information Technology","United States","81500.0","outlook"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","71000.0","sql"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","71000.0","python"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","71000.0","looker"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","excel"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","tableau"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","power bi"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","sharepoint"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","powerpoint"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","outlook"
"Data Analyst","Data Analytics Analyst","Get It Recruit - Information Technology","United States","120000.0","visio"
"Data Analyst","Data Analyst","Goldbelt, Inc.","United States","98750.0","sas"
"Data Analyst","Data Analyst","Goldbelt, Inc.","United States","98750.0","sas"
"Data Analyst","Data Analyst","Goldbelt, Inc.","United States","98750.0","flow"
"Data Analyst","Healthcare Contract/Data Analyst","Kermit","United States","70000.0","excel"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","sql"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","sql server"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","azure"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","aws"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","redshift"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","snowflake"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","tableau"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","looker"
"Data Analyst","Experienced Data Analyst","Get It Recruit - Information Technology","United States","84500.0","ssis"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","86500.0","sql"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","86500.0","oracle"
"Data Analyst","Data Delivery Analyst","Get It Recruit - Information Technology","United States","82500.0","sql"
"Data Analyst","Data Delivery Analyst","Get It Recruit - Information Technology","United States","82500.0","python"
"Data Analyst","Data Delivery Analyst","Get It Recruit - Information Technology","United States","82500.0","r"
"Data Analyst","Junior Business/Data Analyst","Get It Recruit - Transportation","United States","72000.0","sql"
"Data Analyst","Junior Business/Data Analyst","Get It Recruit - Transportation","United States","72000.0","nosql"
"Data Analyst","Data Analyst (Junior/Mid/Senior) - Remote - Defense Manpower Data...","Get It Recruit - Information Technology","United States","82000.0","sql"
"Data Analyst","Data Analyst (Junior/Mid/Senior) - Remote - Defense Manpower Data...","Get It Recruit - Information Technology","United States","82000.0","t-sql"
"Data Analyst","Data Analyst (Junior/Mid/Senior) - Remote - Defense Manpower Data...","Get It Recruit - Information Technology","United States","82000.0","oracle"
"Data Analyst","Data Analytics and Reporting Analyst","Get It Recruit - Information Technology","United States","81000.0","sql"
"Data Analyst","Data Analytics and Reporting Analyst","Get It Recruit - Information Technology","United States","81000.0","sql server"
"Data Analyst","Data Analytics and Reporting Analyst","Get It Recruit - Information Technology","United States","81000.0","snowflake"
"Data Analyst","Data Analytics and Reporting Analyst","Get It Recruit - Information Technology","United States","81000.0","tableau"
"Data Analyst","Data Analytics and Reporting Analyst","Get It Recruit - Information Technology","United States","81000.0","ssrs"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","101500.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","101500.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","101500.0","r"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","101500.0","azure"
"Data Analyst","Risk Adjustment Data Analytics Lead","CVS Health","United States","95150.0","sql"
"Data Analyst","Risk Adjustment Data Analytics Lead","CVS Health","United States","95150.0","sas"
"Data Analyst","Risk Adjustment Data Analytics Lead","CVS Health","United States","95150.0","excel"
"Data Analyst","Risk Adjustment Data Analytics Lead","CVS Health","United States","95150.0","sas"
"Data Analyst","Epic Chronicles Database Analyst","Get It Recruit - Information Technology","United States","103000.0","sql"
"Data Analyst","Data Analyst - Call Center","Suncoast Credit Union","United States","59500.0","sql"
"Data Analyst","Data Analyst - Call Center","Suncoast Credit Union","United States","59500.0","python"
"Data Analyst","Data Analyst - Call Center","Suncoast Credit Union","United States","59500.0","excel"
"Data Analyst","Data Insights Analyst (all genders) - Remote","OUTFITTERY","Germany","92000.0","sql"
"Data Analyst","Data Insights Analyst (all genders) - Remote","OUTFITTERY","Germany","92000.0","python"
"Data Analyst","Data Insights Analyst (all genders) - Remote","OUTFITTERY","Germany","92000.0","pascal"
"Data Analyst","Data Insights Analyst (all genders) - Remote","OUTFITTERY","Germany","92000.0","tableau"
"Data Analyst","Data Analytics Manager","WhiteCrow","Namibia","137000.0","excel"
"Data Analyst","Data Analytics Manager","WhiteCrow","Namibia","137000.0","powerpoint"
"Data Analyst","HR Data Analyst","SHI International Corp.","United States","60000.0","visual basic"
"Data Analyst","HR Data Analyst","SHI International Corp.","United States","60000.0","vba"
"Data Analyst","HR Data Analyst","SHI International Corp.","United States","60000.0","excel"
"Data Analyst","HR Data Analyst","SHI International Corp.","United States","60000.0","power bi"
"Data Analyst","HR Data Analyst","SHI International Corp.","United States","60000.0","sharepoint"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","snowflake"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","excel"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","106000.0","git"
"Data Analyst","Data Insight Analyst","Get It Recruit - Information Technology","United States","82500.0","sql"
"Data Analyst","Data Insight Analyst","Get It Recruit - Information Technology","United States","82500.0","excel"
"Data Analyst","Data Insight Analyst","Get It Recruit - Information Technology","United States","82500.0","tableau"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","sql"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","python"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","r"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","sas"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","tableau"
"Data Analyst","Data Analyst Intern","Get It Recruit - Information Technology","United States","84000.0","sas"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","python"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","r"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","javascript"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","c++"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","snowflake"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","excel"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","tableau"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","looker"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","qlik"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","104000.0","powerpoint"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","87500.0","sql"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","87500.0","excel"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","87500.0","power bi"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","sql"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","python"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","r"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","tableau"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","power bi"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","flow"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","sql"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","python"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","r"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","tableau"
"Data Analyst","Treasury Data Analyst II","Get It Recruit - Information Technology","United States","87000.0","power bi"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","sql"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","python"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","powershell"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","sql server"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","azure"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","excel"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","powerpoint"
"Data Analyst","Information Protection Data Analyst - Remote | WFH","Get It Recruit - Information Technology","United States","77000.0","outlook"
"Data Analyst","AI-focused Data Analyst/Tableau Developer","Get It Recruit - Information Technology","United States","80000.0","java"
"Data Analyst","AI-focused Data Analyst/Tableau Developer","Get It Recruit - Information Technology","United States","80000.0","excel"
"Data Analyst","AI-focused Data Analyst/Tableau Developer","Get It Recruit - Information Technology","United States","80000.0","tableau"
"Data Analyst","AI-focused Data Analyst/Tableau Developer","Get It Recruit - Information Technology","United States","80000.0","power bi"
"Data Analyst","Healthcare Data Analyst","Get It Recruit - Healthcare","United States","105000.0","sql"
"Data Analyst","Healthcare Data Analyst","Get It Recruit - Healthcare","United States","105000.0","python"
"Data Analyst","Healthcare Data Analyst","Get It Recruit - Healthcare","United States","105000.0","tableau"
"Data Analyst","Healthcare Data Analyst","Get It Recruit - Healthcare","United States","105000.0","power bi"
"Data Analyst","Data Analyst with PowerBI expertise","Get It Recruit - Information Technology","United States","83500.0","sql"
"Data Analyst","Data Analyst with PowerBI expertise","Get It Recruit - Information Technology","United States","83500.0","python"
"Data Analyst","Data Analyst with PowerBI expertise","Get It Recruit - Information Technology","United States","83500.0","excel"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sql"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","84000.0","sql server"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","84000.0","tableau"
"Data Analyst","Remote Data Analyst","Get It Recruit - Information Technology","United States","84000.0","ssrs"
"Data Analyst","Data Analyst (Remote)","Acosta, Inc.","United States","52500.0","windows"
"Data Analyst","Data Analyst (Remote)","Acosta, Inc.","United States","52500.0","excel"
"Data Analyst","Data Analyst (Remote)","Acosta, Inc.","United States","52500.0","power bi"
"Data Analyst","Data Analyst (Remote)","Acosta, Inc.","United States","52500.0","word"
"Data Analyst","Data Analyst (Remote)","Acosta, Inc.","United States","52500.0","powerpoint"
"Data Analyst","Data Analyst","Plexus Resource Solutions","United Kingdom","165000.0","python"
"Data Analyst","Data Analyst","Plexus Resource Solutions","United Kingdom","165000.0","mysql"
"Data Analyst","Data Analyst","Plexus Resource Solutions","United Kingdom","165000.0","aws"
"Data Analyst","Data Integration Analyst","United Site Services","United States","95000.0","flow"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","83500.0","r"
"Data Analyst","Data Analyst","Get It Recruit - Information Technology","United States","83500.0","tableau"
"Data Analyst","Community Data Analyst","Get It Recruit - Information Technology","United States","70000.0","python"
"Data Analyst","Community Data Analyst","Get It Recruit - Information Technology","United States","70000.0","planner"
